year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Coastwide,Columbia River North to Canadian border,Newport Line North to Canadian border,Cape Mendocino North to Canadian border,Cape Mendocino South to Mexican border,Point Reyes South to Mexican border,Point Conception South to Mexican border,
1986,11.49991798,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1987,197.92623,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1988,924.558388,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1989,1514.326871,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1990,1197.470179,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1991,2066.600532,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1992,4238.291527,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1993,4253.665121,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1994,4835.716189,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1995,4867.337902,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1996,5490.717552,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1997,5804.185458,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1998,2612.560646,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1999,5532.433048,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2000,6049.260762,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2001,7572.012651,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2002,5935.257217,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2003,10307.24226,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2004,6642.540047,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2005,6110.394077,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2006,5810.877754,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2007,7116.635766,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2008,7699.060595,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2009,7923.261141,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2010,8407.519136,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2011,7467.284608,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
2012,8695.630795,NA,NA,Production (metric tons),Aquaculture (finfish),0,1,0,0,0,0,0,
1985,11392,NA,NA,Production (metric tons),Aquaculture (shellfish),0,1,0,0,0,0,0,
1986,12798,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1987,12474,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1988,12515,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1989,11450,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1990,12010,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1991,11170,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1992,12950,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1993,13985,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1994,15110,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1995,12681,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1996,10598,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1997,11602,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1998,12891,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
1999,13552,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2000,12326,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2001,12457,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2002,13513,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2003,14459,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2004,21670,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2005,12354,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2006,15586,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2007,14760,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
2008,14793,NA,NA,Production (metric tons),Aquaculture (shellfish),1,1,0,0,0,0,0,
